objectid,gtin
181,073000000448
5432,0171999999221
2952,025235000076
320,032244040245
4864,027084086577
891,9781893028005
2452,0013031024631
23049,0778988869666
320,0032244040344
1406,0073000000097
286125,630509886135
5894,0653569206019
2425,032244047305
38340,027084641608
256540,855607007088
94684,0689280599819
2921,0003224404005
1294,073000000455
1406,653569351467
207167,0063050941464
3515,074299418037
7327,778988279892
2379,032244041136
2243,032244009501
2381,032244049170
1294,653569308584
12777,730799050244
891,9781893028289
13945,076930418932
1927,0607052443979
329966,810816030807
5659,025235000106
5312,632468003103
146864,801561100006
36973,021853021110
37612,027084645217
4910,021853055559
2281,0751195340098
2394,047754510010
1294,076930407660
1406,0653569869023
4143,0630509535767
18041,045802384101
9878,017281192416
260942,630509874903
272889,0887961775303
9924,021853086225
2281,020315001004
6420,9781893028043
2719,0630509629138
2952,0025235000076
4812,707916123457
1111,653569892045
1515,032244043123
2318,032244040399
32032,653569251552
38026,0000304047596
257880,0430001007102
3737,630509974672
1111,0013031024433
179701,852468006380
3758,0026608002604
20589,653569100409
1923,010563007774
179280,0700304046703
216798,0658300603027
40692,0824968726914
5048,0653569441243
2921,0630509720378
1962,093514073332
186666,801561100112
1917,032244047145
86073,0013810002942
8690,093514073639
320,0032244040245
3510,794764014204
19985,047754951707
205610,841333106829
8039,076930404669
9153,073000408916
15047,653569031987
2394,047754511017
19370,778988980774
2719,032244044304
323255,0850016557162
1406,073000000097
891,667792000016
27389,0794764013597
40851,653569362388
18755,0630509664900
1751,0778988719701
17709,079346001804
13166,021853000559
231674,851187004141
891,653569410188
14342,027084180442
186442,810558013649
34390,778988797419
252314,0854382007115
1917,032244049163
677,653609357916
3737,653569493365
1294,0013031017220
19370,778988914908
16130,073000062507
83019,684152200060
304297,700304153760
2392,021853014037
2425,0630509643318
231082,0688098774111
614,0689002681006
137157,0027084450453
24376,073000060091
811,0021853004069
1607,093514073363
2425,4730
1515,4312
2425,653569656647
9704,730799023026
3737,630509471515
181,0073000000448
152615,730799023088
12616,019275077006
3522,0639277404695
260942,00630509874903
63268,3558380074397
39415,653569312949
2223,887961962970
1797,073000000325
4864,0027084086577
2243,0032244047343
54745,027084699579
2407,630509751037
1294,0630509673292
1293,073000003845
5894,032244046452
2766,021853054545
68448,0756806092571
3181,0093514069113
2375,035261080058
320,032244041211
146149,778988121467
1294,0630509323487
1824,0032244049156
17965,653569057819
14585,027084258981
20306,730799023125
233358,021853022414
891,653569887300
13,0029877030613
76668,021853034509
2318,653569783008
25986,027084316780
68448,5425016920558
22889,653569490173
248702,630509534081
2223,887961962888
115793,778988284575
21566,876284001039
1294,0076930407660
297345,639277581464
1406,073000000073
286127,630509889228
1294,0700304048974
183271,630509405978
102792,794764010015
2448,778988187715
6114,073000403485
11634,0047754959208
5423,026608008118
304353,810558018385
1295,073000000523
2425,0630509633241
135099,730799061141
194655,778988704691
45,853012000434
21071,895193047433
1468,033500042553
1855,778988893173
10028,021853040609
3737,630509785001
2448,047754180114
2243,630509257287
8860,9781893028340
67628,653569525103
2394,778988715734
2452,0790405292260
3845,653569300786
63268,803979004112
6235,027084037579
11549,853192000019
61475,700304004772
9851,193571766915
2093,194031243519
4862,5011363512722
2818,0002784936513
2136,4001504490850
2452,5010993484096
2243,4001504492038
2136,4001504490218
2719,5010994851897
2223,0887961986730
172237,0781624682833
2719,630509277797
10934,093514077088
230864,794764013887
1231,032244042232
20308,730799050350
1923,021853036008
394,814743011649
2393,856960002116
478,841333102067
264925,0686603226193
279644,817054011711
8283,086079001278
163319,817054011537
7865,659390010139
2393,856960001508
2393,856960002154
96848,634482704950
33857,804879074588
230200,8710126197387
4816,736396060006
2225,073000408183
267814,814743014466
12495,827714008500
101,029877004683
107435,018886025505
242520,817054011902
131366,793573104922
147183,3760175514180
133772,856934004016
475,841333105563
278042,856565007363
211,032244042003
175914,859573004393
67695,653569492740
98968,837654321171
230802,0826956400202
165186,817054011414
41916,4001504871604
224517,9781988884035
17119,653569092698
143508,794764013672
300442,860001884227
129348,817054011063
125492,837654321614
143065,8594156310264
257732,6533410407632
204053,852131006051
88,827714013115
140934,850505008472
273473,792273252285
2393,856960001836
213953,631080169402
36218,655132003704
215,655132003285
8280,086079004798
255674,814743014411
151982,837654321966
144325,837654321782
307033,5011921141913
822,655132001700
2393,856960001812
5129,072348313685
154597,718122212132
256066,5011921123964
503,9781589942141
112991,837654320983
95386,3760175512834
18833,9781589940321
309070,887961824759
200983,053334863285
187289,850680002104
50849,029877731015
271524,3558380066491
255618,0892884000098
220547,852468006144
249689,682604701424
185154,852764007005
19918,714043010918
175177,837654322710
212140,9781945625282
333948,887961892161
7708,0759751052195
34744,653569300168
219215,689070018339
14454,9781893028166
265948,700304150561
5651,5060572503960
213497,817054011780
3845,076930420294
2597,076930401972
156372,703558838414
238373,841333104474
108679,080162885370
281198,5060523343041
5591,073000004095
211168,9781936920815
258036,653341028709
211926,0866795000317
228668,634482728161
248226,850680002173
14808,699788109175
268221,856565007226
214899,079346001385
172032,9781938146596
258309,860001845600
128442,634482739693
143884,827714006650
228935,728028450958
243536,841333104870
23550,802221100527
5432,778988649275
17062,027084192759
217671,814743012677
2172,649039003660
281960,803979036045
149296,700304045218
268936,810270035073
258719,841333105143
2196,033500134227
227019,8711808765603
238370,841333104856
234856,653341028006
259996,013964757842
3845,653569639527
261114,826956200505
207975,729220058843
287507,9781589935006
136587,091037688149
308126,019275019013
22108,9781899749256
651,794764010015
217201,095109010326
271664,653341029003
899,756597000014
46669,817054010479
194228,814552021785
231309,630509549580
246938,859930005971
938,4005556222926
206770,817054011490
38159,689070014133
5909,4532
159059,852468006427
182330,700304046901
32989,095109010227
258003,3558380059950
275726,053334917551
283542,0869691000191
224894,8436017224856
260363,728620802155
161498,850521004014
21980,634482400647
2393,856960001560
230200,602573662946
25072,728505787577
135648,3760175511134
208545,4015566024403
141734,827714008029
336794,8594156310011
896,9781884927454
158237,817054010738
235465,4010168233512
256570,4250231724251
12958,858299000030
171129,6011050770175
8217,655132002387
27853,0759751071042
262733,644216129423
14634,857848004932
139433,817054011575
121193,094504202923
24473,029877057115
5432,047754194258
20816,893661000089
210152,616909967155
206156,5903240539086
1234,9781589781313
259015,5060572500730
2932,855996005849
269789,655132005494
246816,3760008426680
11635,074299434525
221107,841333103309
45,047754153309
7,086453006059
283355,9420020248304
131261,700304044679
983,715234001005
240271,5060660090006
240744,752830068568
3845,630509340873
28179,797782010128
266324,841333107031
199792,0602573149508
23715,825156103173
251747,817054012053
273258,728028482782
1270,073000403607
23790,625012104265
119782,856232002783
257601,856232002684
238377,841333104498
3845,076930414033
318086,091037863775
421,045708008699
182050,5900741508207
257736,850505008694
245350,841333105105
260710,644216475322
175155,9781616617776
288365,841333109165
255597,845866001385
90850,781624737199
137166,781624737199
123399,4988601220705
285902,875582024580
72991,4005556265329
35729,890968002006
266470,9781912200139
7,783329195038
106,084626001030
645,659390044448
264196,634482735909
1240,803004731006
896,045748101923
155169,837654322079
224141,5060469662053
282287,6425453000973
214899,0079346001385
194688,609456647595
150323,4620011811103
161498,0850521004014
194233,814552021419
252776,850560007168
7601,679946122925
248201,841333104894
259571,634482736586
89409,9781936920013
319094,0730699600532
920,076930409466
37612,0746775321543
308184,852613005909
292103,193206007406
26351,026608002598
285902,875582024917
230361,019962686115
276894,824968717929
119782,0856232002783
238222,0810558016220
175689,856565007028
17053,887961233773
8489,9780970910905
102254,705105982373
68375,782294120243
220186,859358006116
91072,029877057139
215,073854008089
333,071404310118
37624,635975919196
5432,818192022584
16496,4010350700310
256788,803979077024
9209,824968200315
70323,8436017223897
176250,634482717967
201927,823464002386
262733,644216128525
2119,025766230003
222190,634482719251
5451,4902370516548
91072,029877057160
272453,841333107802
169062,8054181513394
300322,4061897501410
2817,9781589940642
164689,837654322376
16401,722267111113
182176,696859265846
822,0655132001700
3818,6416739413006
141614,803004664007
4610,4002051689315
82422,670541597651
188614,837654322956
146548,4630018520137
156599,631080148155
285902,875582024900
23715,0825156103173
250834,798304419801
158957,852613005107
153971,841333102173
129622,729220051097
287899,5011921118687
382,0853533008124
3910,074299431845
241245,857848004598
382,655132001908
138704,655132005555
181304,3558380029441
53376,5908260260026
17393,817054011032
250963,823464002508
315196,630509954469
147020,852613005114
33023,653569284611
131366,0793573104922
5031,073000000929
218074,680140514157
2173,025766199515
46,655132001014
285902,875582025143
1295,0071404310941
91831,845866001057
2393,0923891153
60054,824968826744
230408,630509585472
15278,047754385175
31481,655132004657
205637,4015566024403
173101,889696006806
14523,705105730073
822,4001504481254
1339,653569941446
7222,702021085126
37612,0746211142534
4556,045708008682
285826,728028482836
4359,817054010738
158130,0703558837653
11137,730799050091
58877,625012104425
1417,029877012503
12005,3760175513404
896,045748101909
16633,021853047059
45,700304004185
148434,9781468308167
19752,899218000304
32107,794764018615
205738,653341089045
2243,653569152408
23794,625012104241
12943,872277000010
37849,653569351047
43303,3558380005377
205761,3558380041153
103,1560382015
1338,4002051689018
43168,875582006708
244909,8717344311656
51008,739048119527
102745,689070014133
145497,837654321935
66941,823973022011
152492,9781782532552
55835,4001504881672
6122,073000409050
92961,890183001037
17053,5055923757888
186265,5055923757888
17053,5055923751886
186265,5055923751886
9933,018886011607
7826,9781903285664
61492,8594156310127
1822,817054010905
2910,029877004706
41123,659390016995
681,029877030613
155148,837654322017
230802,826956600114
232501,609456648868
892,047754020601
177951,889696000699
290236,860421002478
98778,631080198716
156501,4015566005440
10119,010563007781
227456,5060548580001
21859,029877047192
292126,608597525229
15889,783329344764
21955,9781929780778
37612,0027084645217
126163,8594156310264
258666,841333105570
239821,610585961834
8481,702021031512
235555,6533410405652
257601,801310114230
238369,841333104849
40657,0759751071073
150014,616174687185
152237,823464002133
165563,803979026008
6684,038457030301
31410,4002051691585
204507,8056324760085
255012,857848004673
4492,653569312949
175178,837654322666
5,045708001409
181385,857848004222
2196,084656134227
315043,792273252438
904,859961000273
336794,8594156310035
336794,8594156310356
6050,851370000011
259996,0013964757842
207965,5904262001186
301257,810024460120
70,655132001274
821,5027901000279
250442,860421002409
22016,823973021014
2212,076930401446
2266,803979001005
151151,728028379662
221107,0841333103309
104633,4010350060681
17053,073854024409
17053,887961472929
200983,0053334803663
210936,0053334803663
783,700040012307
2065,4902370621013
21689,689076796590
7189,076930403839
133010,9783865197078
271044,4250231719011
37589,653569308584
258,9781929780013
5958,638936821873
12,859961000242
33643,4005556219797
209658,862473000143
262042,602573797143
312789,602573797143
13786,847878000004
18901,653569314233
197707,9781589781634
182340,634482728635
117942,4011898061215
175924,862473000129
249102,856565007240
127067,3760175512902
21241,5908310266671
4492,025235000069
5917,025235000069
219783,5060314600070
23898,759195019952
12692,9781589781443
208364,655132005418
36424,655132005814
163639,9781938146626
285902,875582024887
236205,845866001354
171,0788430980351
255902,609529000357
27970,807652036353
177,9781560380382
2593,714043011991
270971,4061897501410
18902,3421271301332
131366,743181622714
8295,4005556231713
264806,852468006496
1295,714043012127
27299,802221060135
175626,637813364342
281194,5907222999332
126163,655132005029
195543,5902560380002
194062,8054181513417
260658,660042425607
34376,0759751071066
1549,632468010101
151801,632468003059
735,785339068432
59429,4010350500316
18207,9781589781450
24310,9780980209273
249824,0700304049827
2655,736211019233
98960,0696859265563
232353,803004291005
22278,4010350103418
8243,871180870758
143884,9781631400926
291237,5011921127177
5135,093514073424
62222,817054011193
10681,659390077521
1111,5023117554971
9615,653569155089
709,9780880380942
248567,634482732830
112869,837654321010
2393,0810126019059
929,742818051002
127748,700621091547
131261,885848974221
263155,3558380062325
131904,703558837691
128442,634482736661
267404,9781911281481
1234,978158978130
217934,609529000357
285902,875582024894
153773,841333104375
259345,4010168242156
132532,4010168056616
180040,602573043530
24959,047754378177
180040,602573043547
1445,714043061118
129622,0841333108359
170431,609456646864
36244,0730799020728
23781,625012104180
280769,817054011889
25669,036970521320
237153,0603813959635
3144,032244924002
50,814743011618
9220,853533008506
227514,859930005902
234757,602573465158
71882,9780984608010
2952,653569004011
4492,653569004011
22839,653569004011
161417,728028382075
5432,625012178044
22551,0653569037613
181501,0635040937049
25920,651174125145
14634,0857848004932
113819,013964344264
3845,0653569064824
42350,653569067917
28454,635975706062
8098,852791003001
224319,850365002481
22981,852877000832
157979,019962313707
336794,8594156310226
244711,8034055582022
165551,778988056325
2655,718122212132
217761,729220058737
250291,856565007165
33091,894769000162
29119,659390020077
253743,5407004490816
36244,730799020643
89880,857120003066
175144,5060377580432
2393,0810126015495
212668,710051999146
109193,684152300159
248002,841333105792
1515,714043011946
37847,653569339748
212765,602573043745
14454,9781893028043
16498,4010350700518
185262,731236248729
917,714043061224
31920,837654320600
268276,857848004802
90,076930409930
1406,730799050572
15325,730799050572
63314,894554000001
114991,0079346001675
127493,5060200841938
28327,837654320662
244228,826956610205
304621,857862003447
232403,655043618974
213544,845866001170
103811,793573888204
90567,837654321034
242639,4893156059246
220137,852946007960
17053,759751023010
137762,0053334803663
822,681706780009
173386,837654322451
8307,9781556342530
33368,794764017601
335956,5025228010117
209696,5060469662244
33932,9780978924171
199792,013964757842
178442,019962376603
21561,625012104135
5432,021853019117
235378,5060377580654
140,714043010123
90974,0759751071134
264660,850002773002
2773,9781891153716
1804,074299022371
272453,0841333107802
2718,831112000028
131366,040232179945
197405,823464002454
257,823464002065
258720,841333105150
287941,9781947941038
186475,803979059006
165572,9781472807380
214899,0859096007109
194655,9780992126841
224313,861961000023
271319,4005556269181
230590,634482729359
5432,686141010162
128921,827714006834
135779,4571394090589
68942,837654320525
257081,9781626926288
5559,9781930658042
23959,0027084334784
225214,3760175515293
3309,0874310326
40398,0630509747740
295829,0630509896318
146247,813856014363
17053,856739001142
17053,073854024300
17053,073854023938
92363,092145610282
193042,826956370208
253495,850505008793
121425,681706790015
237153,603813959635
22877,817054011162
156840,720260655764
248196,602573824962
89550,669165005581
139666,799599208255
113819,091037538024
254386,0852068008067
129622,841333108359
177249,091037681171
223597,5060314600063
232405,843495100042
9567,823973010056
2398,0788430983390
223881,9788417071707
285902,0875582024870
54239,027084729634
226135,9780986392078
214898,9781589781764
3373,9001890642920
247704,5060226932177
194062,8054181513714
2318,0653569397311
183682,9781938146336
265377,682604701592
1515,653569353300
123122,655132004794
826,4035576010036
6830,857848004581
107576,681706712611
2398,0788430983376
5367,1888439343
4035,794764015218
17053,073854014844
17053,847563000340
17053,019275015152
17053,746775054540
17053,073854024317
17053,073854112946
17053,073854024270
17053,073854019825
2290,3558380019589
189314,841333100353
237182,602573655917
129359,0837654321898
226610,860649000300
13078,0761707361015
136954,029877041268
692,702021085126
11971,4001504871260
336794,9788088235002
336794,8594156310189
321035,0700304153920
9778,076930415337
175121,815442018588
31260,681706070261
206769,817054011506
125548,9781936920457
188,4061449966
257411,0759751001148
14808,0699788109175
129358,837654321904
154624,728028205213
282765,0672975263959
272889,887961775303
146451,817009018642
113819,091037538031
113819,0091037538031
2393,035756232153
64548,027084717952
44338,837654320259
3701,671839001003
234553,3558380049258
285902,875582025136
175549,0696396382563
20913,730799050657
235982,610370565124
152237,823464002195
6134,036663117007
309113,824968200636
285158,0053334916417
131366,0040232179945
142326,0040232179945
256988,889696009616
177328,858170003426
129609,627843208211
254427,894342000015
323184,9781856699495
132380,021853022674
6865,076930000847
161138,803979015002
12065,0759751002480
535,032244046018
255370,817246020484
252399,0602573655924
230,045708008767
105134,653569879169
298370,787790705086
382,853533008124
153494,837654322024
41835,814349017502
3845,076930410493
178048,837654322604
85256,3558380052111
23550,802221020207
8806,073000460204
39432,183338000475
21059,841333107185
200983,053334820547
210936,053334820547
22551,653569037613
148228,3558380048671
161316,0703558838421
3845,0076930410493
97842,655132005005
216033,778988144343
983,0715234001005
224037,8594156310363
256569,4250231716898
175219,827714008715
38159,689070014027
2484,4005556011490
15473,757572000012
263301,095109010395
66188,4010350608234
27970,807652036247
188547,748252311191
244838,748252311191
204180,896800000773
21551,817054011650
5506,656729180693
309113,824968201633
146451,9781941427019
24082,887961614817
141811,703558837608
2412,620072000014
243534,841333104863
65282,703558837622
150016,4580281270164
134115,850938004010
3845,653569495475
269752,841333108144
148949,729220070630
7250,073000014209
201,814743011649
173875,0783318296135
159566,4010168205649
293267,3760175516825
822,655132003278
232918,4981932023717
255255,0656793965493
27853,759751071042
238992,0856934004207
259162,0856934004207
129359,837654321898
231964,9781938146268
307002,0793618234676
3309,0018874100207
269456,073428443094
251066,0841333104979
224141,5060469662275
256302,9780966704662
177995,610563384518
285902,875582025129
76481,9781661831110
92828,3558380028338
17053,073854000885
285902,0875582024900
110298,8595557506546
188325,685450496728
35537,625012104302
75547,0799439117594
197068,798304339260
15435,9781905176625
218208,824968720028
258647,4260402316031
66312,653569478072
984,033500050770
271,071404310170
244358,752830415188
31553,095109030102
13078,761707361015
22718,019962100024
285902,875582024733
71865,837654320518
5451,4902370516531
25685,787551683523
12106,619159000016
198452,653569533450
275840,700304152312
95128,850402003013
6122,0073000409050
214988,609456647724
224313,861961000016
79131,634482704387
285902,875582025365
136563,643356051083
2398,0788430983239
147458,9781514397848
208419,609456647632
14535,080742099692
199561,728028444155
11901,041624191620
226085,627843307518
11258,893917000009
2448,0047754180015
201305,845866001149
160606,780742098519
187366,029877031184
223573,602573528440
178361,889696002174
131006,696859317477
28046,851139001006
27173,681706713403
45315,8594156310073
247473,862560000308
177940,862473000105
116422,746775059385
74596,722301926161
21882,9781589941366
183831,798521867034
29992,071404310644
146094,631080134202
198926,0841333101220
41152,027084682946
177790,023245601016
227026,634158741326
113819,656103047758
80570,837654322499
112,841333106485
28181,817054011872
171620,845866001118
552,850000576049
143843,803979005294
1687,086079001148
17053,847563000920
17053,073854023440
17053,027084919530
141830,837654322369
155072,696859265594
256262,827714015928
2655,736211018939
133848,0748252979216
223931,9782370990266
236304,0752830414587
86073,5018163005478
178900,3760175512858
