objectid,epid
43360,106898165
43360,1475277490
43360,2254475027
43360,5080104
43360,88688955
43369,104773736
43369,63114070
43369,88376926
43370,103862630
43370,63496051
43370,87287090
43371,104759594
43371,15069215074
43371,63176162
43371,88396284
43372,64186947
43372,89019628
43386,105809473
43386,64330601
43386,91367913
43387,104852697
43387,62289437
43387,88483437
43409,63153854
43409,87832538
43410,107065157
43410,64157522
43410,88965817
43410,9038548615
43416,106067434
43416,21024948179
43416,64335385
43416,91812514
43520,104429888
43520,30233964
43520,87739088
43643,70414526
43673,108042050
43673,13013967552
43673,69622131
43673,90125570
43688,107456288
43688,65574606
43688,89591728
43702,104295820
43702,125955492
43702,87529610
43719,188941930
43719,69740967
43811,128063776
43811,180996374
43828,108055486
43828,65982417
43832,65763528
43833,104434793
43833,14038792353
43833,70924573
43833,87752043
43834,103387191
43834,106980917
43834,66832855
43834,86549691
43835,107077348
43835,73278136
43835,88984098
43836,104819824
43836,66688866
43836,88396264
43842,44675568
43842,90825192
43859,1138018589
43859,672782
43918,13038643499
43918,1904673557
43985,671764
44034,104349158
44034,2446333
44034,87588248
44055,106151567
44055,306180
44055,91890887
44081,118199272
44081,1904674337
44081,89898731
44199,119032628
44199,1227667198
44201,180258426
44201,189648996
44201,683849
44383,118922841
44383,93361010
44744,71220256
44744,86546894
44783,104772357
44783,57154713
44783,88206217
44867,103683106
44867,2351403
44867,86946756
44873,1042292917
44873,190097012
44873,19012058439
44874,103730298
44874,1941051365
44874,2346152
44874,86989958
44988,202158950
44988,59089621
44994,118659697
45017,105711244
45017,63502775
45017,91261434
45081,107238381
45081,118698163
45081,89247971
45199,107466548
45199,50344265
45199,686688011
45199,89614648
45290,104647499
45290,2015099
45290,88163839
45646,1651130
45646,2170776
45648,524484
45648,91157356
45648,96405126
45980,59036625
46076,103229518
46076,1400166876
46076,1400372763
46076,14014280914
46076,4017658666
46076,86240738
46114,1320369
46114,2255331035
46114,90543145
46114,96123365
46177,65762548
46178,64295914
46178,88293870
46199,104270286
46199,59591004
46199,87489666
46202,66825872
46202,88185278
46205,69831819
46205,89545577
46207,72432519
46209,70493513
46209,89369203
46214,60301162
46216,72444528
46217,72412842
46218,72385044
46219,72415861
46220,72420085
46221,72437593
46222,72467687
46225,71220061
46226,71183074
46228,71227215
46229,71233563
46230,71710449
46230,91846555
46237,71113541
46237,88570137
46239,103862373
46239,65926284
46239,87267393
46240,104352235
46240,65587523
46241,65567162
46241,90544442
46242,105799490
46242,63100931
46242,91369510
46243,108042900
46243,63214937
46244,63181756
46249,1326374769
46249,20040622108
46249,2657429
46249,4011373444
46249,621150
46249,89351236
46249,95611416
46438,105027359
46438,1371359
46438,2025006
46438,90521029
46443,103725275
46443,851517
46443,87035395
46505,2296292
46505,7042966908
46587,49039041
46620,106911741
46620,357456
46620,88730671
46698,104698732
46698,404152089
46698,456127
46704,1008617
46704,106980320
46704,88815090
46709,2309499737
46709,30766480
46717,105063942
46717,52033986
46717,90574102
46922,7038505170
46922,86949311
47095,184359494
47095,195708354
47095,2706961
47433,14038844639
47468,1122926334
47468,16047943600
47468,1830330035
47556,599325
47927,1105004327
47927,1456009317
47927,168482738
47927,176557531
47927,189884081
47927,27027043571
47927,3046595104
47927,5069292328
47927,656138611
47961,69715593
48206,104445870
48206,71222781
48206,87830260
48225,30771207
48394,70936471
48395,25038428025
48395,71232199
48444,2353153
48544,118925597
48544,1400556851
48835,89904586
48837,1607803169
48949,2254958718
48949,2708654
48956,108010450
48956,22046698778
48956,2418534
48966,61643509
48968,118147720
49028,72343466
49655,107011242
49655,46462406
49655,88902832
49765,107990155
49765,60082216
49765,90051365
49921,104761185
49921,1608026950
49921,65683039
49921,88360975
50040,107877994
50040,123240070
50040,25038831671
50040,89871724
50305,21035799893
50305,236753979
50305,237363879
50305,246569288
50492,1231541
50495,533433
50495,86379110
50985,1005412762
50985,73830018
51888,1763430
54127,30252942
54455,72654572
55246,106977279
55246,1101581017
55246,71709326
55246,88858909
55836,107525885
55836,78692228
55837,78673259
56117,1547125
56117,6034397935
56117,88699022
56117,95329222
56277,116152871
56277,1863922179
57153,108081878
57153,18038751253
57153,71783290
57153,90184768
58520,71916322
58520,88847744
58522,103429313
58522,71924992
58522,86570353
58523,105824620
58523,72382324
58541,104332517
58541,71692638
58541,87562207
58559,1400224976
58622,84282615
59658,78408297
59658,89006450
61075,72422865
61076,72418466
61077,72432609
61078,72444538
61079,72412421
61081,72435343
61082,6038694438
62390,27046693524
62390,73684259
62447,103046830
62447,12038713739
62561,225597340
62561,77536746
63104,84505020
63770,1905596964
63770,1907825661
63770,72658866
63775,103394765
63775,72708862
63775,86536105
64600,106355969
64600,19069205314
64600,80037779
64600,93281799
64601,102957367
64601,105400878
65332,103747801
65332,25038720949
65332,73182286
65332,87107451
66316,102879143
66316,93402523
66317,102764509
66318,92598998
66326,116507334
66326,22024718155
66908,103715614
66908,73202318
66908,87065754
67011,23069213849
67011,80524095
67011,93358961
67019,102771659
67019,93390430
67020,102840440
67020,93430557
67021,102921742
67021,105402133
67021,93404103
67402,102843093
67516,180739129
67516,24038754906
67516,78693970
67791,105259299
67791,78357755
67791,92307269
68099,1300202797
68449,103945507
68449,4038423418
68449,74153326
68449,92346787
68615,77401625
68615,92441006
69528,222216626
69528,92899971
69600,103923571
69600,78658172
69600,92727651
69727,104041678
69727,92503349
69727,93367748
69791,77410629
69804,1389487
69804,88707329
69804,95340499
70974,102862267
70974,92554643
71412,92596077
72605,105303795
72605,78699468
72606,107526634
72606,78642521
72623,111439817
75389,106438810
75389,92892431
75389,94106030
75447,105027359
75447,2025006
75447,90521029
75537,102822203
75537,92769299
75542,79711160
75544,22038758650
75544,79674665
75544,93173513
76157,1300485035
77653,117042612
78461,102841138
78461,106584181
78461,93289071
82714,102967478
82714,107696768
82714,94107958
82859,102871810
82859,164516635
83539,106318281
83539,26069215789
83539,84529241
83539,92923221
85067,102896757
85068,99538930
85068,99864506
85397,25038655158
86058,99672028
86059,99540287
86060,104062817
86060,14038552470
86060,1804358110
86060,99639679
86061,99576948
86062,99554678
87595,111448133
87595,19046656019
87595,99998657
88012,1707812112
88476,99479751
88994,99665081
90021,92400191
95307,99487009
95708,1707819782
95708,99662475
98302,110969170
98302,1665747614
100409,104133675
100409,108319245
100409,99563349
100410,108384938
100410,99723738
101717,25046478677
102704,1532529792
103134,1964291686
103134,99672436
105189,99495374
121006,110989053
122666,2255722434
135940,177971503
137785,15038743764
142337,14022929977
142337,166702714
142337,220759680
142337,221740870
146117,240062426
149021,1920960279
174620,21003774194
174620,2151658232
174620,27003421097
192563,16038430280
203811,223505248
203811,223634235
203811,225680865
203811,227696427
228718,12046666124
228718,2148966220
228718,238829207
228718,28011376957
228718,28069213988
234669,10010821135
234669,2222589518
234669,26011157001
234669,4010203329
239970,19026367021
239970,22038440935
239970,24026323022
239970,242524297
239970,6026364772
258416,19025508722
258416,22025670381
258416,27024507770
258416,5024433774
269781,2298742671
269781,5025349509
269781,7026596089
272483,8030741939
285377,10040213253
285377,20036916045
285377,5033955970
285377,9035145754
285653,12034900045
285653,13040125774
285653,19034278949
285653,20038405834
285653,21044617799
285653,27038533877
285653,28034163063
324624,12043063832
324624,2315062350
324624,6042129066
